video,#Run_Number,#EventID,#InteractionType,#PID,#DeepCoreQTotal
run120000_event8630_rot80deg_slowmo14.mp4,120000,8630,1,0.109,23
run120000_event8938_rot80deg_slowmo14.mp4,120000,8938,1,0.941,22
run120000_event8957_rot80deg_slowmo14.mp4,120000,8957,2,0.879,24
run120000_event9411_rot80deg_slowmo14.mp4,120000,9411,1,0.254,25
run120000_event9977_rot80deg_slowmo14.mp4,120000,9977,1,0.148,26
run120000_event10302_rot80deg_slowmo14.mp4,120000,10302,2,0.288,22
run120000_event10879_rot80deg_slowmo14.mp4,120000,10879,1,0.787,26
run120000_event11379_rot80deg_slowmo14.mp4,120000,11379,2,0.145,24
run120000_event11662_rot80deg_slowmo14.mp4,120000,11662,1,0.701,26
run120000_event12544_rot80deg_slowmo14.mp4,120000,12544,1,0.815,24
run120000_event15438_rot80deg_slowmo14.mp4,120000,15438,1,0.777,25
run120000_event15932_rot80deg_slowmo14.mp4,120000,15932,1,0.708,25
run120000_event16481_rot80deg_slowmo14.mp4,120000,16481,2,0.871,23
run120000_event27187_rot80deg_slowmo14.mp4,120000,27187,2,0.146,25
run120000_event40808_rot80deg_slowmo14.mp4,120000,40808,2,0.781,22
